entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std,cluster_kmeans,cluster_dbscan,pca_1,pca_2,cluster,tsne-2d-one,tsne-2d-two
222.173.246.158,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,4.4020817893141845e-06,0.0,0,2,-0.5899068909175635,0.73794694908023,3,-18.10475,27.204308
198.235.24.22,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,36.405872,8.015083
192.241.210.35,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,41.847176,8.330199
87.236.176.156,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.0760644373879118e-05,0.0,0,0,-0.28002838856988627,-0.2080596832810643,1,-40.565742,-15.925442
112.193.193.236,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,4.191302,-40.099262
125.84.236.152,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.53257662294642e-05,0.0,0,0,-0.27826263317948313,-0.21070878978820917,1,3.1729345,-30.68655
120.37.249.131,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,5.353148842561077e-06,0.0,0,0,-0.27826268663864434,-0.21070880372882814,1,-6.200461,-3.149857
205.210.31.32,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
179.43.162.94,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.0760644373879118e-05,0.0,0,0,-0.28002838856988627,-0.2080596832810643,1,-40.565742,-15.925442
180.244.166.1,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,4.191302,-40.099262
176.58.121.227,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.25,0.0,0.0,True,6.073242468590866e-06,1.0647721282894268e-06,1,0,0.4422056682448326,0.02991600285276107,1,15.314272,19.345833
184.105.247.254,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.3333333333333333,0.0,0.07692307692307693,True,6.5850071210522886e-06,1.193796962257522e-06,1,0,0.3659223787115522,0.0014958271023729063,1,12.368806,25.265892
122.96.28.132,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
27.227.187.111,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,4.191302,-40.099262
124.31.105.174,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.53257662294642e-05,0.0,0,0,-0.27826263317948313,-0.21070878978820917,1,3.1729345,-30.68655
209.97.143.184,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,41.847176,8.330199
198.235.24.168,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
2.58.95.67,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,4.510775166828115e-06,0.0,0,0,-0.2800284220729028,-0.20805969201769195,1,-23.16583,6.113566
103.252.136.161,0.6666666666666666,0.5,False,0.0,0.0,False,0.16666666666666666,0.5,0.0,0.07692307692307693,True,1.0393804224769603e-05,1.9832255842216757e-06,1,0,0.2197509882893714,-0.09953116841110059,2,20.626627,-15.616395
35.203.211.185,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061838,-0.20805967507623133,1,-20.541529,-37.20057
103.80.134.149,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061838,-0.20805967507623133,1,-20.541529,-37.20057
103.80.134.225,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.3333333333333333,0.0,0.0,True,5.335033279642087e-06,1.1534271833192205e-06,1,0,0.3641566408661043,0.004144938198119614,1,10.76776,21.74494
49.170.14.74,0.6666666666666666,0.056338028169014,False,0.0,0.0,False,0.9999999999999999,0.1549295774647887,0.0,0.15384615384615385,True,0.0674607379016425,0.08140491104622252,1,0,0.6116401917212492,0.062263984587895935,-1,10.313026,3.928675
79.110.48.9,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,5.353148842561077e-06,0.0,0,0,-0.27826268663864434,-0.21070880372882814,1,-5.73418,-5.5530353
139.59.115.164,0.3333333333333333,0.0,False,0.0,0.0,False,0.33333333333333337,0.1333333333333333,0.0,0.07692307692307693,True,5.677417418810968e-06,8.183606304249845e-07,1,0,0.5730328898576417,0.06938249632189537,1,16.77447,9.221044
64.62.197.131,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,38.85243,12.387838
35.216.216.224,0.3333333333333333,0.0,False,0.0,0.0,False,0.33333333333333337,0.2222222222222222,0.0,0.0,True,5.277667330398625e-06,1.5853332880951916e-06,1,0,0.48801486891432383,0.044542474880562975,1,12.42656,10.825914
100.24.5.218,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.0760644373879118e-05,0.0,0,0,-0.28002838856988627,-0.2080596832810643,1,-40.565742,-15.925442
201.222.118.139,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,4.191302,-40.099262
205.210.31.175,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,38.989105,3.2474282
35.233.62.116,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.7839300584473842e-05,2.785068812343647e-06,0,0,-0.280028335018078,-0.2080596702393394,1,-16.03183,-32.09084
92.63.196.78,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,43.80717,3.123997
167.94.146.57,0.3333333333333333,0.0,False,0.0,0.0,False,0.33333333333333337,0.5,0.0,0.0,True,7.414926347278446e-06,1.6718335161794686e-06,1,0,0.22785146779512877,-0.041361067776951234,1,3.9442441,10.258448
77.87.236.206,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,6.347817,-38.7937
47.254.74.59,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.0760644373879118e-05,0.0,0,0,-0.27826265765125185,-0.21070879616974597,1,0.5703889,-17.81921
47.89.193.239,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,5.353148842561077e-06,0.0,0,0,-0.27826268663864434,-0.21070880372882814,1,-2.1089692,-4.2969913
47.251.14.232,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,5.353148842561077e-06,0.0,0,0,-0.27826268663864434,-0.21070880372882814,1,-4.8838224,-4.254212
185.180.143.71,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.0760644373879118e-05,0.0,0,0,-0.27826265765125185,-0.21070879616974597,1,0.4471006,-15.814033
159.89.136.33,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.3695365566755241e-05,1.1546542484956386e-06,0,2,-0.5899068346299845,0.737946963375733,3,-19.45037,36.015354
198.199.102.40,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.0760644373879118e-05,0.0,0,0,-0.28002838856988627,-0.2080596832810643,1,-40.565742,-15.925442
176.108.63.40,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,0.9276875,-43.015667
